Program started...
Building Faulty versions for project biojava
Building next faulty Version biojava-1 with 1 faults, 2 failures, 321 passing Test Cases and 180 relevant methods.
Building next faulty Version biojava-2 with 1 faults, 8 failures, 384 passing Test Cases and 45 relevant methods.
Building next faulty Version biojava-3 with 1 faults, 3 failures, 0 passing Test Cases and 62 relevant methods.
Building next faulty Version biojava-4 with 1 faults, 6 failures, 609 passing Test Cases and 275 relevant methods.
Building next faulty Version biojava-5 with 1 faults, 3 failures, 397 passing Test Cases and 275 relevant methods.
Building next faulty Version biojava-6 with 1 faults, 6 failures, 394 passing Test Cases and 171 relevant methods.
Building next faulty Version biojava-7 with 1 faults, 25 failures, 370 passing Test Cases and 261 relevant methods.
Building next faulty Version biojava-8 with 1 faults, 338 failures, 307 passing Test Cases and 3410 relevant methods.
Building next faulty Version biojava-9 with 1 faults, 11 failures, 623 passing Test Cases and 1198 relevant methods.
Building next faulty Version biojava-10 with 1 faults, 4 failures, 633 passing Test Cases and 1686 relevant methods.
INFO: Writing all faulty versions to file C:\study\SWDiag\sharedFolder_UbuntuVM\MA\pit_data\biojava\pit-data\faulty-versions-1.xml
Building next faulty Version biojava-11 with 2 faults, 43 failures, 595 passing Test Cases and 2329 relevant methods.
Building next faulty Version biojava-12 with 2 faults, 143 failures, 495 passing Test Cases and 2844 relevant methods.
Building next faulty Version biojava-13 with 2 faults, 4 failures, 667 passing Test Cases and 342 relevant methods.
Building next faulty Version biojava-14 with 2 faults, 2 failures, 635 passing Test Cases and 1105 relevant methods.
Building next faulty Version biojava-15 with 2 faults, 39 failures, 598 passing Test Cases and 2305 relevant methods.
Building next faulty Version biojava-16 with 2 faults, 12 failures, 626 passing Test Cases and 1608 relevant methods.
Building next faulty Version biojava-17 with 2 faults, 21 failures, 356 passing Test Cases and 875 relevant methods.
Building next faulty Version biojava-18 with 2 faults, 4 failures, 388 passing Test Cases and 62 relevant methods.
Building next faulty Version biojava-19 with 2 faults, 6 failures, 631 passing Test Cases and 1567 relevant methods.
Building next faulty Version biojava-20 with 2 faults, 42 failures, 637 passing Test Cases and 1222 relevant methods.
INFO: Writing all faulty versions to file C:\study\SWDiag\sharedFolder_UbuntuVM\MA\pit_data\biojava\pit-data\faulty-versions-2.xml
Building next faulty Version biojava-21 with 3 faults, 24 failures, 613 passing Test Cases and 2073 relevant methods.
Building next faulty Version biojava-22 with 3 faults, 11 failures, 625 passing Test Cases and 1595 relevant methods.
Building next faulty Version biojava-23 with 3 faults, 26 failures, 654 passing Test Cases and 1743 relevant methods.
Building next faulty Version biojava-24 with 3 faults, 19 failures, 618 passing Test Cases and 2116 relevant methods.
Building next faulty Version biojava-25 with 3 faults, 4 failures, 630 passing Test Cases and 1196 relevant methods.
Building next faulty Version biojava-26 with 3 faults, 9 failures, 628 passing Test Cases and 1472 relevant methods.
Building next faulty Version biojava-27 with 3 faults, 169 failures, 477 passing Test Cases and 3131 relevant methods.
Building next faulty Version biojava-28 with 3 faults, 14 failures, 631 passing Test Cases and 2117 relevant methods.
Building next faulty Version biojava-29 with 3 faults, 8 failures, 630 passing Test Cases and 1799 relevant methods.
Building next faulty Version biojava-30 with 3 faults, 83 failures, 555 passing Test Cases and 2729 relevant methods.
INFO: Writing all faulty versions to file C:\study\SWDiag\sharedFolder_UbuntuVM\MA\pit_data\biojava\pit-data\faulty-versions-3.xml
Building next faulty Version biojava-31 with 4 faults, 289 failures, 352 passing Test Cases and 3631 relevant methods.
Building next faulty Version biojava-32 with 4 faults, 46 failures, 614 passing Test Cases and 521 relevant methods.
Building next faulty Version biojava-33 with 4 faults, 41 failures, 638 passing Test Cases and 1469 relevant methods.
Building next faulty Version biojava-34 with 4 faults, 6 failures, 632 passing Test Cases and 1480 relevant methods.
Building next faulty Version biojava-35 with 4 faults, 42 failures, 595 passing Test Cases and 2724 relevant methods.
Building next faulty Version biojava-36 with 4 faults, 7 failures, 632 passing Test Cases and 785 relevant methods.
Building next faulty Version biojava-37 with 4 faults, 43 failures, 594 passing Test Cases and 2467 relevant methods.
Building next faulty Version biojava-38 with 4 faults, 35 failures, 603 passing Test Cases and 2523 relevant methods.
Building next faulty Version biojava-39 with 4 faults, 7 failures, 328 passing Test Cases and 1351 relevant methods.
Building next faulty Version biojava-40 with 4 faults, 117 failures, 524 passing Test Cases and 3045 relevant methods.
INFO: Writing all faulty versions to file C:\study\SWDiag\sharedFolder_UbuntuVM\MA\pit_data\biojava\pit-data\faulty-versions-4.xml
Building next faulty Version biojava-41 with 5 faults, 14 failures, 628 passing Test Cases and 1745 relevant methods.
Building next faulty Version biojava-42 with 5 faults, 64 failures, 582 passing Test Cases and 2800 relevant methods.
Building next faulty Version biojava-43 with 5 faults, 18 failures, 619 passing Test Cases and 2089 relevant methods.
Building next faulty Version biojava-44 with 5 faults, 16 failures, 619 passing Test Cases and 1601 relevant methods.
Building next faulty Version biojava-45 with 5 faults, 38 failures, 604 passing Test Cases and 2329 relevant methods.
Building next faulty Version biojava-46 with 5 faults, 134 failures, 548 passing Test Cases and 2937 relevant methods.
Building next faulty Version biojava-47 with 5 faults, 13 failures, 624 passing Test Cases and 2098 relevant methods.
Building next faulty Version biojava-48 with 5 faults, 121 failures, 522 passing Test Cases and 2902 relevant methods.
Building next faulty Version biojava-49 with 5 faults, 57 failures, 585 passing Test Cases and 2776 relevant methods.
Building next faulty Version biojava-50 with 5 faults, 112 failures, 569 passing Test Cases and 2911 relevant methods.
INFO: Writing all faulty versions to file C:\study\SWDiag\sharedFolder_UbuntuVM\MA\pit_data\biojava\pit-data\faulty-versions-5.xml
Building next faulty Version biojava-51 with 6 faults, 36 failures, 601 passing Test Cases and 2399 relevant methods.
Building next faulty Version biojava-52 with 6 faults, 36 failures, 606 passing Test Cases and 1909 relevant methods.
Building next faulty Version biojava-53 with 6 faults, 108 failures, 530 passing Test Cases and 2879 relevant methods.
Building next faulty Version biojava-54 with 6 faults, 28 failures, 615 passing Test Cases and 2355 relevant methods.
Building next faulty Version biojava-55 with 6 faults, 12 failures, 626 passing Test Cases and 2047 relevant methods.
Building next faulty Version biojava-56 with 6 faults, 33 failures, 612 passing Test Cases and 2527 relevant methods.
Building next faulty Version biojava-57 with 6 faults, 18 failures, 622 passing Test Cases and 1600 relevant methods.
Building next faulty Version biojava-58 with 6 faults, 28 failures, 615 passing Test Cases and 2311 relevant methods.
Building next faulty Version biojava-59 with 6 faults, 48 failures, 597 passing Test Cases and 2618 relevant methods.
Building next faulty Version biojava-60 with 6 faults, 21 failures, 616 passing Test Cases and 2166 relevant methods.
INFO: Writing all faulty versions to file C:\study\SWDiag\sharedFolder_UbuntuVM\MA\pit_data\biojava\pit-data\faulty-versions-6.xml
Building next faulty Version biojava-61 with 7 faults, 93 failures, 548 passing Test Cases and 3025 relevant methods.
Building next faulty Version biojava-62 with 7 faults, 28 failures, 610 passing Test Cases and 2312 relevant methods.
Building next faulty Version biojava-63 with 7 faults, 39 failures, 642 passing Test Cases and 2808 relevant methods.
Building next faulty Version biojava-64 with 7 faults, 52 failures, 635 passing Test Cases and 2965 relevant methods.
Building next faulty Version biojava-65 with 7 faults, 22 failures, 615 passing Test Cases and 2229 relevant methods.
Building next faulty Version biojava-66 with 7 faults, 93 failures, 545 passing Test Cases and 2807 relevant methods.
Building next faulty Version biojava-67 with 7 faults, 81 failures, 559 passing Test Cases and 2749 relevant methods.
Building next faulty Version biojava-68 with 7 faults, 25 failures, 621 passing Test Cases and 2083 relevant methods.
Building next faulty Version biojava-69 with 7 faults, 24 failures, 616 passing Test Cases and 2235 relevant methods.
Building next faulty Version biojava-70 with 7 faults, 23 failures, 615 passing Test Cases and 2178 relevant methods.
INFO: Writing all faulty versions to file C:\study\SWDiag\sharedFolder_UbuntuVM\MA\pit_data\biojava\pit-data\faulty-versions-7.xml
